"","text","monthday","year","author","url"
"1","Egypt, education, archaeologyThe PAT ParcoArcheologicoTemporaneo for the Day of Archaeology 2013 by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","cristiana","http://www.dayofarchaeology.com/pat-parcoarcheologicotemporaneo-for-the-day-of-archaeology-2013/"
"2","In police procedurals on TV, “driving a desk” is always the worst punishment imposed by the gruff police chief on the maverick detective. Being pulled out of the field and made to fill out paperwork takes the heart out of the job — the protagonist is always trying to find away to get back into active duty. I feel somewhat the same way about archaeology: I was in the field almost every year for nearly the first two decades of my involvement in the discipline, and the last five years or so I’ve spent working on publication projects has left me very restless. I can understand why some field projects never get published — it’s just too tempting to stay out there.So while most of my days recently have been spent writing a book that uses data produced by other archaeologists, and preparing a book that presents the results of my own most recent dig, I thought I’d spend the Day of Archaeology doing a little of the hands-on detective work that I miss. I couldn’t get my hands dirty, alas, but I could at least go digging in some archives. My mission: to find the original of a photograph of a UT Classics classroom taken in the 19-teens or 20s. The archaeological connection lies in the set-up of the classroom, which included a series of 1:1 plaster casts of ancient sculpture purchased from the workshops of August Gerber in Cologne and Caproni in Boston. William Battle, a influential Classics professor who taught at UT between 1893 and 1948, had acquired an extensive collection of such casts for teaching purposes. The collection, mostly intact, is now held by the Blanton Museum at UT Austin, which has been working on an interpretation project for the casts on display. This photo would be included in the interpretive material to explain how the casts were originally used.Photograph of the Classics lecture room in the Old Main building on the UT Austin campus. A series of casts of Classical sculpture are displayed around the room. The photograph is held in the archives of the Briscoe Center for American History at UT Austin. It wasn’t hard to find the photograph, thanks to the organization of the archives of the Briscoe Center for American History at UT Austin. The casts are clearly visible, standing along one wall (the Hermes and Dionysus attributed to Praxiteles, the resting satyr, the portrait statue of Demosthenes, the Venus de Milo) or mounted above (parts of the Parthenon frieze and the Nike balustrade from the Athenian Acropolis). But the photograph, and the larger project to which it is attached, gave me a chance to think about how we communicate information about archaeology, if not about how we gather information.It’s the gathering that’s the sexy part — I am inevitably drawn more toward updates from the field than I am to discussions of publication or data management. But while the collection of information on the ground may form the core of the practice of archaeology, what distinguishes the discipline of archaeology from looting or treasure-hunting is the attempt to represent what we find to audiences who don’t have access to the original material. This is where people who work with material culture spend the bulk of their time. The documentation we collect in the course of excavation or field survey is in service of this goal, as are the published reports and monographs we produce. The interpretation and organization of archaeological evidence is important in this process, but not, I would argue, as important as the representation of the evidence itself (would a pottery report with no illustrations or descriptions be useful to anyone?).We take most of this for granted. What we represent is in large part dictated by disciplinary tradition, which developed in turn in response to the basic needs of the community of practitioners (one records the height and diameter of an intact vessel because other people need that information to compare their material or draw conclusions about the vessel’s function). Discussions of representation focus more on “how” than on “what” or “why”, and this is especially true of the shift toward digital technology. Which is the better representation of a stratigraphic context in an excavation: a page in a site notebook? A computerized database record? A digitized notebook page, plus a database record, plus a plan in GIS or AutoCAD? All of the above, plus 3D? All of the above, but with the record generated only in digital form on a tablet?All these documents are attempting to represent the same thing: a physical feature that has been destroyed, or at least is not present for the reader of the documentation. I’ve spent a lot of time thinking about the “how” lately, as I prepare the final publication of the excavations I co-directed with Larissa Sedikova in the South Region of the site of Chersonesos in Crimea. Our documentation ranges from scanned notebooks to records in L – P : Archaeology’s ARK database to 3D layers created with photogrammetry and visualized in ESRI’s ArcGIS.Three representations of the same feature (an ambiguous pit): left, a verbal description in a site notebook; center, an ARK database record; right, a 3D pdf showing a model derived from photogrammetry and georeferenced in the site GIS.But working with the history of the cast collection led me today to think about what we choose to represent, and why. These choices are not natural, but very much constructed by culture, and they are not fixed. Early Classical archaeology sprang very much from the rediscovery of Classical art during the Renaissance and Enlightenment, and as a result, the study of Classical archaeology for much of the 19th century was not easy to distinguish from what we now call “art history”. The cast collection at UT was assembled to assist in the teaching of Classical archaeology, which was itself seen as a way to round out students’ understanding of the Classical world from the literary sources. Study of the Classical world was itself seen as a fundamental element of cultural capital in the West at this time, which explains why UT was willing to invest a substantial amount of money in the acquisition of replicas of Classical art.The replication of ancient figural art — intaglio gems as well as sculpture — through physical casting was widespread in the 18th and 19th centuries, as a tool for both teaching and research. A cast collection allowed students to view together objects distributed through dozens of museums and private collections, and it allowed those without the resources to travel to Italy or Greece to see ancient art first-hand (almost). Casts were the internet of their day.But in the mid-20th century, they fell out of favor — they weren’t real art, only copies, and furthermore they had sometimes undergone minor modifications in surface treatment or the patching of missing pieces to make them more aesthetically appealing, so they weren’t even faithful. Many collections were destroyed or dispersed at this point, including the collection of casts at UT: soon after Battle’s death in the mid-1950s, they were sent into long-term storage or handed out around campus as decor for offices and departments. They were “rediscovered” and restored in the 1970s and have been on display as teaching resources since then — but there is no guarantee that the aesthetic tide won’t turn again, since these aren’t technically “works of art”.In this case, a particular way to represent a particular type of archaeological material — Art, with a capital A — fell out of fashion, and then returned to fashion as we became more interested in the reception of Classical antiquity in the early modern period. As it becomes easier and easier to create and disseminate 3D models of objects in museum collections, I wonder where these objects will fit into the story. Like the casts, they’re a way to convey “first-hand” experience of objects to an audience that can’t get to the objects themselves; like the casts, they involve a certain amount of manipulation, invisible to the user, that reduces to some extent the accuracy of the representation. Even better than the casts, they can be created very easily with inexpensive technology, to the point where Sue Alcock’s recent “Archaeology’s Dirty Little Secrets” MOOC had students create their own as part of the course.3D techniques and computational photography provide an exciting new “how” for the representation of archaeological objects. The “what”, however, is dictated to a certain extent by the technology (freestanding objects in the round seem most popular). And the “why”, for now, is partly “because we can!”. It’ll be interesting to see whether digital 3D representations become a standard part of the archaeological toolkit, like photography, or whether there will be a intellectual backlash, as there was with the casts. After all, on a Platonic level, we’re moving ever further from the ideal expression of an object. Will 3D models bring greater access to ancient art and archaeology to the online multitude, as this Google-glass derived printable 3D model of a head of Marcus Aurelius in the Walters Museum suggests? Or is an admittedly cursory 3D effort to model the cast of a Roman copy of a Greek sculpture nothing but an even more indistinct shadow on the wall of the cave?I think some of the most exciting digital work in Classical archaeology that will be done in the next few years will actually involve tracing and visualizing the representation of archaeological monuments and works of art across time. Max Schich is already doing this with representations of Classical monuments in later art, and the Arachne database of the German Archaeological Institute has a contextual browser that allows one to visualize the relations between, say, an intaglio gemstone, a cast of the impression of that gem, an engraving of the cast of the impression of the gem, a textual description of the engraving of the cast of the impression of the gem… Understanding not only how we represent our material, but what we choose to represent and why, may help us understand better our own archaeological practice.The Representing archaeology by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","adamrabinowitz","http://www.dayofarchaeology.com/representing-archaeology/"
"3","Many random bits of heritage end up without a function. This surviving, but moved and rebuilt, fragment of medieval church porch stores a bin, a table tennis table, a pile of chairs and a number of broken lights. I mentioned the porch had been rebuilt this involved an immensely strong cement that is not harder than the flints but is far harder than the soft stone dressings.  It is the stone dressing – the material of primary historic importance – that survive from the medieval building.  You may notice the blackened surface of the soffit of the arch, this is likely to be evidence of the burning of the original, medieval church, or possibly a later fire in one of the bins.Whilst waiting by the porch two people stopped to ask me what it was.  Both were surprised to find it was part of the medieval church.  My meeting was with the Southwark Heritage Association  http://www.southwark.org.uk/ who are looking to attach a blue plaque to the porch and apply for grants to undertake some much needed conservation work.  Part of this application will be to provide a new, more convenient bin store and store for the organisation that use the community building.  So I will be writing a brief for the conservation work so the Association can get quotes for the conservation and investigating ways to secure the building.For much of the day I was discussing a planning application site just to the east of Tower Bridge with the Regional Archaeology Science Advisor, Dr Sylvia Warman.  A small evaluation trench had been dropped in to see if the Bronze Age field systems known from the other side of the street extended into this area.  The trench identified a previously unknown palaeochannel.The Camberwell Parish Church by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","Chris Constable","http://www.dayofarchaeology.com/camberwell-parish-church/"
"4","Archaeological Research Collective is a non-profit organization based in South Carolina that is dedicated to the preservation of South Carolina’s history and culture through historical archaeology, research, public outreach, and education. We do archaeology on historic period sites which involves everything from consulting clients as to how to manage their cultural resources, research of the historic documents related to sites and projects, archaeological excavations, analyzing artifacts, presentations on our research, and public education programs. So what we do each day changes quite a bit depending on which part of a project we are currently working on.For Day of Archaeology we actually spent the day working on the very beginning of a new project, which will give you an idea of how we start our research. We had an out-of-town meeting with a potential client. We drove a couple of hours out-of-town to a property where they have a known historic plantation from the 18th to 19th centuries. We toured the property while we talked with the client about the history and different parts of the plantation including the houses, work areas, and cemeteries. The client needs to build some new buildings in areas where we know people once lived. We discussed where these buildings would be going and their construction techniques so we can better understand how much they plan on disturbing the site. We also met with students who are doing non-archaeological scientific research there who we are going to be able to work with to get a better understanding of the original landscape of the plantation.From these discussions we can now design a research plan for the site. Anytime you build something or dig into the ground you have the potential to destroy any archaeological record that there may be. So we have to make sure that we have an understanding of how the site was used in the past before they do any construction. We look to see where buildings were, the size of the buildings and how they were built, who may have lived in them, when did they live in them, and what did they do inside and outside of these buildings. Once we have an understanding of these basic questions, and if we don’t find anything that is really important that would require us to do more excavations and research – then it would be safe for them to build the new buildings.We had a great day and look forward to working on this project. Even though we didn’t dig in the ground or find any artifacts we did archaeology all day. We talked about and planned future work, which may be the most important part of archaeology. Without a good plan and questions we would be digging for no reason, which should never be done. Great work starts with great planning!The Planning a New Project by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","archaeologicalresearchcollective","http://www.dayofarchaeology.com/planning-a-new-project/"
"5","144 days until what I hear you ask? Just the small matter of the public opening of the new Stonehenge visitor centre.If you’ve read my two previous Day of Archaeology posts from 2011 and 2012, you’ll know that this particular project fills all of my work hours, some of my weekend hours and a bit of my sleep. I’m the archaeologist writing, devising and advising on all the content for the new centre. This includes the permanent exhibition, the opening temporary exhibition, the external gallery, the landscape interpretation scheme, the audio tour… whatever we are going to be telling visitors about Stonehenge, I’ll have had some input into it.The entrance to the new visitor centre – a lot of scaffolding and cones at the moment!So what I have been up to today? No surprise that I have been office bound (except for a lunchtime to trip to buy paella from the stalls in Queen Square outside my office – it’s the Bristol harbour festival this weekend) and juggling a few different things:1. E-mails and a phone call about exciting discoveries at Stonehenge this week. Suffice to say that the recent dry weather has been showing up parchmarks beautifully and its been a bit of a scrabble to help get colleagues out on site to survey and photograph them. The last of these e-mails was at 10pm.2. Commenting on my colleague Harriet Attwood’s designer’s drawings for her interactives for the education room – pulling stones, building Stonehenge, cut-away Stonehenge, dig your own barrow, etc.3. Commenting on a new draft reconstruction from artist Peter Lorimer of the late Neolithic settlement at Durrington Walls – a few more trees, more activity and people, slightly zoomed in, and we’re there.4. Commenting on my designer’s drawings of a map of all Grooved Ware findspots in the UK for the permanent exhibition display case – trying to choose which key sites to have photographs of (plumped for Skara Brae, Callanish, Newgrange, Thornborough Henges and Avebury to get a good geographical spread, but might have to double check my thinking on this!)5. Collating and marking up photographs and images for our landscape panel scheme – we’ve been working closely with the National Trust to replace and improve the panel scheme in the Stonehenge landscape and we’re at design stage now, so quite a lot of back and forth about thumbnail maps, photographs, etc. This includes various e-mails back and forth with Nick Snashall, archaeologist at the Trust about panel positions and photo mark-ups – via Blackberry as she is digging at West Kennett avenue today! A large shared Dropbox folder later and our designer has lots to work with.6. E-mails relating to: new photography, audio tour interviews, a request for images from Jane Ellis-Schon who is project curator at Salisbury Museum for their new prehistory gallery, temporary exhibition catalogue layouts, writing for the EH website…The pressure is on. And I’m feeling it! That’s why this is only a short post and why it’s also a day late.143 days…The 144 days… and counting by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","Susan Greaney","http://www.dayofarchaeology.com/144-days-and-counting/"
"6","D’ya know, I should never be surprised anymore?This is the third year of The Day of Archaeology and each year I actually blog on what I do for the day – on that particular day. I don’t explain my work in a museum, explain my past or most recent archaeological research, nor do I blog my perception on what this day is actually about. All I know is  The Day of Archaeology is about our heritage, it is a shared thing world wide, and one that we can all grasp in one way or another. And it is important for various reasons that not need to be explained here.For the last four years I have undertaken a landscape study of a Cistercian Abbey in south east Wales. The abbey has an interesting ‘historical identity’ that is latched onto by some in academia and the public alike. It was small, skint and had no  real impact on its surrounding landscape. It can be waved away with a flutter  of the archaeological hand coupled with a muttering of  ’So what? It is Llantarnam’. It does not help that the grounds of the abbey happened to end up within the boundary of  a post WWII New-town where every thing had to be ‘new’. No watching briefs, no excavations and the general dearth of historical research was sadly wanton. The lack of serious investigation into its archaeological value should be a wake up to us all.Instead of embroiling myself into the political crapness that is archaeology in the Eastern Valley in Torfaen (Gwent or Monmouthshire in old speak), let us have a look at what that particular order is renowned for within their immediate land holdings. It is water management.Now that is boring to a lot of people but there is no need for such disdain. If you follow the systems, you find archaeological remains. It is a simple concept. And I don’t mean walking on banks next to, or along,  leats, streams or rivers either. The world, and his archaeological brother and sister, has done that already. If you want to investigate water systems, the best way to do that is actually get in the systems and walk down (or up) them. It is then, and only then, that you can visibly investigate and find some serious archaeological remains.Last summer was earmarked for the recording of such findings. It didn’t happen due to a few broken and dislocated bones. This year it has happened, and I am quite happy to admit my pleasant surprise at what has been uncovered. What you are about to see is why I have no more surprise while doing this stuff. It is all rather big.You can go from this:-To this:- And that is quite exciting when you consider nothing has been recorded in this particular landscape.For The Day of Archaeology  2013 I looked at this feature which I thought was small (again), much to my incompetent (still) thought. It is a sluice gate within the grounds of Llantarnam Abbey.Again, you can go from this:-To this:-I consider this sort of investigation to be of a semi-invasive nature. Without doubt the remains that are visible are multi-period and only a serious, long term, archaeological investigation will let us all understand the exact nature of the remains. Cistercian water management appears to get a bad press from many areas. There is no need for that whatsoever. When you understand these old systems, it can lead to solving many flooding problems that cause so much heartbreak today. As they are no longer managed, they flood in a considerable manner. This is a school route next to a mismanaged historical water system. .For my last note, I have to point out to everybody the health and safety aspect of this sort of study, it is very dangerous. Many historical water systems are still in use today. Storm water, street drainage and road run off are directed into current systems that had a successful, but managed use, many years ago.You really do not want to get caught up in this sort of stuff. Be careful people, be careful… David Standing.University of South Wales – Caerleon Campus.The Llantarnam Abbey (one for the students) by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","David Standing","http://www.dayofarchaeology.com/llantarnam-abbey-one-for-the-students/"
"7","This all singing, all dancing contribution was undertaken by local film makers Delphine Coudray, and Roy Murray includes archaeologists, university students, local children and Paddy Rispin, from the Trim Living History group.Dodging torrential rain showers, in between excavation cuttings, this is archaeological interpretation, community style: Blackfriary Community DoA 2013The Archaeology:The Blackfriary Community Archaeology Project is collaboration between the Irish Archaeology Field School (IAFS), Meath Local Authorities and the community of Trim, Co. Meath, Ireland. The focus of the project is the Blackfriary, a 13th Dominican Friary, founded by the Anglo-Norman Geoffrey de Geneville, Lord of Meath in 1267. The friary was quarried out in the 18th century and the remains of are mostly buried. The site, listed as a National Monument in the 1970’s, is situated in a large field and is surrounded by housing. As the town developed, around it, the field fell into disuse and eventual dereliction. The Project is challenged with investigating the archaeological remains of the site, much now underground, and working with the local community to create a space where community and visitors alike can explore heritage and use the site in a mutually beneficial and sustainable way. The Irish Archaeology Field School carries out a summer excavation project at the site annually; this incorporates a practical field programme for archaeology, anthropology and forensic students into the archaeological research project.The Community:Our summer excavation season depends very much on the good relationship the School has with the community; Trim has an active community that are creative, resourceful and proud of their heritage. The School asked members of the community to help out with a contribution for the Day of Archaeology, something that the community themselves would be interested in… Although not perhaps a typical day for archaeologists, the imagination, enthusiasm and fun of this contribution is very typical of the School’s experience of working in this wonderful community. Enjoy! The Public Archaeology – a community view by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","Bairbre Mullee","http://www.dayofarchaeology.com/public-archaeology-a-community-view/"
"8","I’m currently finishing my Honours degree (equivalent of a fourth year for those outside Australia) in Brisbane, Australia. My Day of Archaeology was spent in the classroom, taking a research colloquium course to finish the coursework component of my degree. Luckily for this post, our class today was particularly interesting and gives some insight into where archaeology is positioned as a discipline (in the Australian university system at least).This interdisciplinary colloquium includes students from the four social science disciplines, archaeology, anthropology, sociology and criminology. Over the course of our degrees this is the first course that has brought us all together.  We’re here to learn from each other, discuss our similarities and differences, and ultimately become better researchers. It turns out that even though we are in the one ‘school’ we know so very little about each other, stereotypes abounded in our first class. Archaeologists apparently alternate between looking for treasure and dinosaurs, anthropologists seem to mostly follow Indigenous people around pestering them with questions, sociologists are reportedly obsessed with the philosophy of long dead white men, and criminologists seemingly harbour desires to be Batman. Blatant stereotyping aside, the social sciences are united by a rigorous interest in humanity, a desire to better understand its many nuances and intricacies, and ultimately to contribute our knowledge back to society.Today’s class features a debate over the potential sale of the Persepolis Fortification Tablets in order to pay off a debt that Iran was judged to owe the victims of the 1997 Hamas bombing in Jerusalem (this is a serious and intensely political case on which you can read more about here). This debate brought up serious questions about cultural heritage, its role in the creation of identity, value in an irreplaceable source of information on the past, and whether items of cultural heritage should be exempt from treatment as ‘assets’.Clay Tablet, Persepolis Museum, Iran. Image by Pentocelo via WikimediaWhat I found most interesting about this debate were the different perspectives that we all had on this one case. Whilst we all recognised the importance of the tablets and emphasised the global nature of cultural heritage, each discipline had a different focus. The sociologists were most interested in aspects of power and control, criminologists over the legality of the case and the commodification of heritage objects, the anthropologists were concerned with the issue of state control over material culture and the intertwining of cultures, and the archaeologists focused on the preservation of cultural heritage and the integrity of these priceless collections.It seems unfortunate that this is the first time we have been united in our degrees as it is so clear that we have much to learn from our fellow social science disciplines. There is a tendency to put on blinkers and not see the valuable contributions and perspectives that others have on your own discipline. I’m not sure if any of the archaeology students were quite prepared for the unique criminological or sociological take on what you’d assume was a straight archaeological case. As an archaeology student one of the most important takeaways of this day has been the importance of being interdisciplinary and the value of being open to other perspectives.Off now to rid the streets of crime…The What would Batman think about the Persepolis Fortification Tablets? Debating Heritage and Archaeology’s Place in the Social Sciences by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","Jacq Matthews","http://www.dayofarchaeology.com/what-would-batman-think-about-the-persepolis-fortification-tablets-debating-heritage-and-archaeologys-place-in-the-social-sciences/"
"9"," Hello!Hello, All. I am happy to participate again in the third annual Day of Archaeology (2011, 2012).  Congratulations and a big THANK YOU to all of the other participants and volunteers!  The past few years have been a wonderful experience – I love seeing what other archaeologists are doing around the globe, as well as sharing my own work.My name is Molly Swords and I am an historical archaeologist based out of Moscow, Idaho, and employed as a Cultural Resource Specialist III for SWCA Environmental Consultants (SWCA).  For the last few years, we have been processing on an enormous archaeological collection for the Idaho Transportation Department (ITD).  This project has also led to a new partnership with the University of Idaho as I teach both Applied Cultural Resource Management and Issues in Heritage Management classes.In keeping with my two previous day of archaeology posts- I’ve chosen to document what my day looked like today…Kali D.V. Oliver and Theodore Charles, graduate students at the University of IdahoThis morning, I had a lovely start to my day. I met two University of Idaho graduate students for an early morning coffee meeting.  We talked about progress on their thesis topics, upcoming conferences where they could present their work, and options to consider as avenues for archaeological publishing.I dedicated a good portion of my morning and afternoon to editing a couple of technical reports and organizing artifacts for a museum exhibit.  The company that I work for, SWCA is putting together a museum exhibit at the Bonner Country Historical Museum on the Sandpoint Archaeological Project with the support of ITD.  This exhibit is a fantastic way to illustrate this amazing project to the local community and visitors to Sandpoint.  The museum exhibit should be open in mid-August; so, make sure to check it out if you are in the Lake Pend d’Oreille area!At lunchtime, I decided to call Mary Anne Davis, the Associate State Archaeologist for the Idaho State Historic Preservation Office (SHPO). I wanted to check in with Mary Anne Davis about details for students presenting and the possibility of having a University of Idaho session at the Idaho Heritage Conference (September 25-27). Go Vandals!  This year is Idaho’s territorial sesquicentennial (the 150th anniversary of Lincoln’s signing of the congressional act creating the Idaho Territory). In celebration of this anniversary, folks and organizations around the state have been hosting events, including a very impressive Idaho Archaeological Month in May, and will continue to observe the sesquicentennial with the first ever Idaho Heritage Conference.  This conference is a partnership between of a number of organizations in Idaho (Idaho Archaeological Society, Idaho Heritage Trust, Idaho Association of Museums, Idaho State Historical Society, National Trust for Historic Preservation, and Preservation Idaho), all of which will hold their annual meetings, preservations, training, and field trips together for this conference. Mary Anne and I also discussed having something similar to the Day of Archaeology during Idaho Archaeology Month next year.AACC Stacks of Reference ResourcesAACC Comparative Collection          The last part of my day was spent at the Asian American Comparative Collection (AACC), housed at the Alfred W. Bower’s Laboratory of Anthropology at the University of Idaho.  I am doing some research on Overseas Chinese for a publication that I am currently writing.  If you do not know about the AACC yet, a volunteer coordinator and one of my archaeological heroes, Dr. Priscilla Wegars, runs it.  The collection houses around 27,500 entries in the database covering artifacts, documents, bibliography, and images.  This collection is such a wealth of information and Priscilla is such a treasure.  I wanted to spend some time going through the stacks of resources, including dissertations, theses, and gray literature, to help me shed more light on the Overseas Chinese in the American West.  In the span of 40 minutes, Priscilla provided me eleven amazing documents.  (Honestly, with Priscilla’s help it took about 10 minutes).  When I told Priscilla that I was going to “blog” about my day of archaeology and ending up at the archives she said that I was “excavating the archives.”AACC Food Storage Jars, typically referred Ginger Jars** I have included the link for the Asian American Comparative Collection Foundation at the University of Idaho, they are currently accepting donations in order to keep this world-renowned and heavily utilized collection available in the future**http://www.uiweb.uidaho.edu/aacc/FUTURE.HTMAll in all, it was a lovely Day of Archaeology.  If you want to follow me on twitter- for more archaeological tidbits- I’m anthrogirly.AACC houses a variety of cultural materials including those from China, Japan, and the Pacific Islands (including Australia and New Zealand) Here are some links:http://www.swca.com/index.php/http://idahoarchaeology.org/projects/sandcreekarchaeology/http://www.preservationidaho.org/heritageconferencehttp://www.uiweb.uidaho.edu/aacc/People that I would like to thank: SWCA, Mary Anne Davis, Priscilla Wegars, Kali D.V. Oliver, Theodore Charles, Mary Petrich-Guy, Jim Bard, Robert Weaver, and Mark WarnerAACC Alcohol Bottles. I thought I would end this post with a photographic toast!  The “Excavating an Archives”… well, at the end of the day by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","Molly Swords","http://www.dayofarchaeology.com/excavating-an-archives-well-at-the-end-of-the-day/"
"10","More times than not, the life of an archaeological collection will outlive the lives of the archaeologists who originally excavated it, but what happens in the “golden years” of the collection? Like people, a collection’s condition in later years depends the care it receives from its “family and friends.” With proper care and attention to detail throughout generations of archaeologists, a collection can continue to add pieces to the puzzle of our human history.Archaeologists, including University of Idaho (UI) students, curate and research collections at the Alfred W. Bowers Laboratory of Anthropology in Moscow (a small town in Northwest United States). The Lab is the main repository for Northern Idaho anthropological and archaeological collections and documents as well as an arena of applied research for the University. Students, faculty, staff, and volunteers care for, store, rehabilitate, document, and provide access to prehistoric and historic artifacts, their associated documentation, ethnographical works, and a host of references and research resources.On this day in July, Lab folks continue to rehabilitate several collections in addition to a host of other daily and ongoing tasks. This post is a collaborative effort by many of us who had an archaeological sort of day.Front cover of the field journal that turned Leah’s day around.There is good to be found amidst the wreck and ruin:Leah K. Evans-JankeCollections Manager, ArchaeologicalAlfred W. Bowers Laboratory of AnthropologyOn days like these I really wonder why I became an archaeologist.  I have been running from project to project trying to stay ahead the workload destined to land on my desk.  It seems everywhere I look there is a responsibility begging for my attention and each one is equally important.  Today I am actively working on two NAGPRA inventories, curating documents from a collection excavated over 40 years ago, planning a large scale exhibit and creating an activity booklet, trying to write a grant, finding ways to boost our Facebook audience, and a bunch of other stuff.  I am waiting for someone to say “you are an archaeologist/collections manager – why aren’t you working with artifacts?” but this is the reality of archaeology. I might be able to get back to artifacts in a month or two, but a lot of being an archaeologist in our modern world comes down to paperwork, administration/budget management, and fretting endlessly about making sure employees have jobs for this moment and into the future.  The reason I fell in love with this job is rarely part of what I do on a day-to-day basis.   For those of us who learned to trade in our hiking boots for cubicles, there are moments when we remember what drove us into this career and the spark reignites.  For example, I included a picture of one of the documents I am curating today because the front cover not only made me laugh, it reminded me that I am an essential link between “then”, “now”, and “someday”.  Time passes all too quickly and before we realize it, we become part of the “then” and our experiences, although small and largely insignificant, build into this thing collectively known as the human experience.  As I am reviewing field note books, I am seeing one of Idaho’s oldest and best known archaeological assemblages through youthful eyes, straining to see the past for the first time.  It can be some pretty powerful stuff – if you let it grab you.  It can be powerful enough to take you out of your cubicle and into that wonderful time known as “then”.The view from Alyssa’s desk. Alyssa Schoeffler GriffithLaboratory TechnicianI am an undergraduate at the University of Idaho with a major in Anthropology.  I am lucky enough to work at the “Bowers Lab,” “Bowers,” as we know it.  On any given day you can find me processing archaeological collections for curation, scanning archaeological documents for archival purposes and entering data into a database.  On this particular day, I am surrounded by archival-grade, grey storage boxes stacked all over my desk.  They contain the last 54 bags of artifacts to be processed from a collection our lab has been intermittently working on curating for the last decade or so.  While not glamorous, my job today entails giving each of these bags an individual bag and box number and entering it into the collection’s Access database.  Doing this allows artifacts to be easily located once they have been shelved in the repository as well as making it easier to create box and bag labels that are generated using said database.Courtney BergeLaboratory TechnicianAs a volunteer in the lab throughout the summer, I have been privileged to watch as the rehabilitation of a 40 years old collection moves towards completion. A few weeks ago the lab started cataloguing the final year of this collection, which was excavated from the late 1960s-early 1970s. We have been working on dividing all the artifacts into their proper categories, assigning them new catalogue numbers, and entering their new numbers into the database. Today, I am work to ensure that every artifact has a permanent label. These coded labels contain their catalogue numbers, a site number that tells us in which site the artifact was found, as well as the number of artifacts in a bag, and what type of artifact it is. These labels are extremely important because they allow us to be able to identify the artifact easily and quickly. Making labels may not seem like the most fun thing to do in archaeology, but it is important. It is exciting to know that in a few weeks we will be finished working on this collection and that it will be ready to be used by someone in the future.The view from Amy’s desk. Amy JohnsonLaboratory TechnicianCurating collection from Florence, Idaho (10-IH-1923)Chi-Namel powder varnish can recovered from historic Florence, ID.Florence, Idaho, was a historic mining town established at the onset of the Idaho Territory (1863), and the  site I am curating dates to the early 1890s. Florence was was one of the most productive placer gold mines in the state and mining continued when quartz substituted gold as the sought after resource after the gold had been depleted. Few people resided in the town year-round due to harsh winters and the town was completely abandoned in the 1950s. This site had a prominent Chinese population, as did most mining sites in the Northwest United States. The site was excavated in 1993 and the curation is taking place this year. The collection is associated with a single home, likely inhabited by family of European descent. Among the artifacts that I have rediscovered in this collection include a can of table varnish entitled Chi-Namel. The can has not been opened and still contains the powder varnish. Advertising that was found while researching the artifacts depicts a racist representation of Asian Americans cleaning and varnishing wooden surfaces while a white middle class woman sits and relaxes in a chair. This sort of bigoted advertising was unfortunately common in turn-of-the-century America. Though remote, the town did have a prominent Asian American population involved in operating the mines.Amber ZielgerLaboratory TechnicianThe view from Amber’s desk.An undergrad in cultural anthropology, I work as a lab tech for the Lab.  For the last several weeks, we’ve been curating a pre-contact collection excavated in the late 1960s and early 1970s. My role in the curation has largely been one of data entry, but since we’re on the very tail end of the project, I’ve moved on to curating the documents for the collection. Today, that means scanning thousands of pages of catalog sheets, saving them as PDF files, and double-checking to make sure each sheet scanned properly.When I first started working at the lab, I expected archaeology to be much like what one sees in films and on TV. I thought anthropology labs were mostly built of stainless steel, and that we might wheel skeletons out of hidden closets for comparative reasons. Few of my expectations were fulfilled, but as it turns out, I prefer it that way. The work I perform is often tedious, but it makes me proud to know that we’re contributing to a wider understanding of humanity’s history (often one flake of débitage or catalog sheet at a time.)Note: We’d like to extend a special thanks to all the folks who entrust archaeological collections to the Alfred W. Bowers Laboratory of Anthropology and the constant support we receive from the Department of Sociology and Anthropology at the University of Idaho. The The Archaeological Backstretch by Day of Archaeology, unless otherwise expressly stated, is licensed under a Creative Commons Attribution-ShareAlike 3.0 Unported License.	","July 27","2013","Alfred W. Bowers Laboratory of Anthropology","http://www.dayofarchaeology.com/the-archaeological-backstretch/"
